"","id10","N","dec10","grp10"
"57","D177",1,"Tumor benigno lipomatoso de otros sitios especificados",""
"58","D179",1,"Tumor benigno lipomatoso, de sitio no especificado",""
"59","D229",2,"Nevo melanocitico, sitio no especificado",""
"60","D250",1,"Leiomioma submucoso del utero",""
"61","D259",14,"Leiomioma del utero, sin otra especificacion",""
"62","D291",1,"Tumor benigno de la prostata",""
"63","D303",2,"Tumor benigno de la vejiga",""
"64","D304",1,"Tumor benigno de la uretra",""
"65","D350",1,"Tumor benigno de la glandula suprarrenal",""
"66","D352",1,"Tumor benigno de la hipofisis",""
"67","D367",1,"Tumor benigno de otros sitios especificados",""
"68","D371",2,"Tumor de comportamiento incierto o desconocido del estomago",""
"69","D376",3,"Tumor de comportamiento incierto o desconocido del higado, de la vesicula biliar y del conducto biliar",""
"70","D377",2,"Tumor de comportamiento incierto o desconocido de otros organos digestivos especificados",""
"71","D390",1,"Tumor de comportamiento incierto o desconocido del utero",""
"72","D391",2,"Tumor de comportamiento incierto o desconocido del ovario",""
"73","D397",1,"Tumor de comportamiento incierto o desconocido de otros organos genitales femeninos",""
"74","D401",1,"Tumor de comportamiento incierto o desconocido del testiculo",""
"75","D410",1,"Tumor de comportamiento incierto o desconocido del riñon",""
"76","D414",3,"Tumor de comportamiento incierto o desconocido de la vejiga",""
"77","D434",1,"Tumor de comportamiento incierto o desconocido de la medula espinal",""
"78","D441",1,"Tumor de comportamiento incierto o desconocido de la glandula suprarrenal",""
"79","D443",1,"Tumor de comportamiento incierto o desconocido de la glandula hipofisis",""
"80","D469",2,"Sindrome mielodisplasico, sin otra especificacion",""
"81","D479",1,"Tumores de comportamiento incierto o desconocido del tejido linfatico, de los organos hematopoyeticos y de tejidos afines, no especificados",""
"82","D480",1,"Tumor de comportamiento incierto o desconocido del hueso y cartilago articular",""
"83","D485",1,"Tumor de comportamiento incierto o desconocido de la piel",""
"84","D487",4,"Tumor de comportamiento incierto o desconocido de otros sitios especificados",""
"85","D489",1,"Tumor de comportamiento incierto o desconocido, de sitio no especificado",""
"86","D580",1,"Esferocitosis hereditaria",""
"87","D589",2,"Anemia hemolitica hereditaria, sin otra especificacion",""
"88","D599",1,"Anemias hemolitica adquirida, sin otra especificacion",""
"89","D619",2,"Anemia aplastica, sin otra especificacion",""
"90","D648",1,"Otras anemias especificadas",""
"91","D649",7,"Anemia de tipo no especificado",""
"92","D694",1,"Otras trombocitopenias primarias",""
"93","D892",1,"Hipergammaglobulinemia, no especificada",""
"94","D898",1,"Otros trastornos especificados que afectan el mecanismo de la inmunidad, no clasificados en otra parte",""
"95","E041",1,"Nodulo tiroideo solitario no toxico",""
"96","E042",4,"Bocio multinodular no toxico",""
"97","E051",1,"Tirotoxicosis con nodulo solitario tiroideo toxico",""
"98","E101",1,"Diabetes mellitus insulinodependiente con cetoacidosis",""
"99","E109",2,"Diabetes mellitus insulinodependiente sin mencion de complicacion",""
"100","E115",17,"Diabetes mellitus no insulinodependiente con complicaciones circulatorias perifericas",""
"101","E118",3,"Diabetes mellitus no insulinodependiente con complicaciones no especificadas",""
"102","E119",1,"Diabetes mellitus no insulinodependiente sin mencion de complicacion",""
"103","E141",2,"Diabetes mellitus, no especificada con cetoacidosis",""
"104","E145",16,"Diabetes mellitus, no especificada con complicaciones circulatorias perifericas",""
"105","E148",8,"Diabetes mellitus, no especificada con complicaciones no especificadas",""
"106","E149",2,"Diabetes mellitus, no especificada sin mencion de complicacion",""
"107","E162",6,"Hipoglicemia , no especificada",""
"108","E200",1,"Hipoparatiroidismo idiopatico",""
"109","E210",1,"Hiperparatiroidismo primario",""
"110","E211",1,"Hiperparatiroidismo secundario no clasificado en otra parte",""
"111","E213",1,"Hiperparatiroidismo, sin otra especificacion",""
"112","E230",1,"Hipopituitarismo",""
"113","E660",3,"Obesidad debida a exceso de calorias",""
"114","E668",1,"Otros tipos de obesidad",""
"115","E669",5,"Obesidad, no especificada",""
"116","E722",1,"Trastornos del metabolismo del ciclo de la urea",""
"117","E835",1,"Trastornos del metabolismo del calcio",""
"118","E840",2,"Fibrosis quistica con manifestaciones pulmonares",""
"119","E849",5,"Fibrosis quistica, sin otra especificacion",""
"120","E871",1,"Hiposmolaridad e hipernatremia",""
"121","E881",2,"Lipodistrofia, no clasificada en otra parte",""
"122","F059",2,"Delirio, no especificado",""
"123","F102",3,"Trastornos mentales y del comportamiento debidos al uso del alcohol: sindrome de dependencia",""
"124","F103",5,"Trastornos mentales y del comportamiento debidos al uso del alcohol: estado de abstinencia",""
"125","F130",1,"Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnoticos: intoxicacion aguda",""
"126","F140",1,"Trastornos mentales y del comportamiento debidos al uso de cocaina: intoxicacion aguda",""
"127","F141",1,"Trastornos mentales y del comportamiento debidos al uso de cocaina: uso nocivo",""
"128","F142",3,"Trastornos mentales y del comportamiento debidos al uso de cocaina: sindrome de dependencia",""
"129","F148",1,"Trastornos mentales y del comportamiento debidos al uso de cocaina: otros trastornos mentales y del comportamiento",""
"130","F162",2,"Trastornos mentales y del comportamiento debidos al uso de alucinogenos: sindrome de dependencia",""
"131","F190",1,"Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: intoxicacion aguda",""
"132","F191",1,"Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: uso nocivo",""
"133","F192",1,"Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: sindrome de dependencia",""
"134","F199",1,"Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: trastorno mental y del comportamiento, no especificado",""
"135","F200",1,"Esquizofrenia paranoide",""
"136","F209",9,"Esquizofrenia, no especificada",""
"137","F239",3,"Trastorno psicotico agudo y transitorio, no especificado de tipo esquizofrenico",""
"138","F319",6,"Trastorno afectivo bipolar, no especificado",""
"139","F322",4,"Episodio depresivo grave sin sintomas psicoticos",""
"140","F323",4,"Episodio depresivo grave con sintomas psicoticos",""
"141","F328",1,"Otros episodios depresivos",""
"142","F329",25,"Episodio depresivo, no especificado",""
"143","F331",1,"Trastorno depresivo recurrente, episodio moderado presente",""
"144","F410",1,"Trastorno de panico [ansiedad paroxistica episodica]",""
"145","F419",1,"Trastorno de ansiedad , no especificado",""
"146","F429",1,"Trastorno obsesivo",""
"147","F432",1,"Trastornos de adaptacion",""
"148","F439",1,"Reaccion al estres grave, no especificada",""
"149","F448",6,"Otros trastornos disociativos [de conversion]",""
"150","F449",1,"Trastorno disociativo [de conversion], no especificado",""
"151","F609",3,"Trastorno de la personalidad, no especificado",""
"152","F799",1,"Retraso mental, no especificado: deterioro del comportamiento de grado no especificado",""
"153","F842",3,"Sindrome de rett",""
"154","F919",1,"Trastorno de la conducta, no especificado",""
"155","G039",2,"Meningitis, no especificada",""
"156","G040",1,"Encefalitis aguda diseminada",""
"157","G248",2,"Otras distonias",""
"158","G309",1,"Enfermedad de alzheimer, no especificada",""
"159","G409",6,"Epilepsia, tipo no especificado",""
"160","G439",3,"Migraña, no especificada",""
"161","G454",1,"Amnesia global transitoria",""
"162","G459",7,"Isquemia cerebral transitoria, sin otra especificacion",""
"163","G473",9,"Apnea del sueño",""
"164","G500",1,"Neuralgia del trigemino",""
"165","G560",12,"Sindrome del tunel carpiano",""
"166","G562",1,"Lesion del nervio cubital",""
"167","G629",1,"Polineuropatia, no especificada",""
"168","G700",1,"Miastenia gravis",""
"169","G709",1,"Trastorno neuromuscular, no especificado",""
"170","G822",1,"Paraplejia, no especificada",""
"171","G919",1,"Hidrocefalo, no especificado",""
"172","G934",2,"Encefalopatia no especificada",""
"173","G979",1,"Trastornos no especificados del sistema nervioso, consecutivos a procedimientos",""
"174","H001",1,"Calacio [chalazion]",""
"175","H023",2,"Blefarocalasia",""
"176","H024",1,"Blefaroptosis",""
"177","H050",1,"Inflamacion aguda de la orbita",""
"178","H258",1,"Otras cataratas seniles",""
"179","H259",1,"Catarata senil, no especificada",""
"180","H269",2,"Catarata, no especificada",""
"181","H663",2,"Otras otitis medias cronicas supurativas",""
"182","H669",1,"Otitis media, no especificada",""
"183","H741",1,"Enfermedad adhesiva del oido medio",""
"184","H813",2,"Otros vertigos perifericos",""
"185","H919",1,"Hipoacusia, no especificada",""
"186","I119",1,"Enfermedad cardiaca hipertensiva sin insuficiencia cardiaca (congestiva)",""
"187","I200",2,"Angina inestable",""
"188","I209",3,"Angina de pecho, no especificada",""
"189","I210",1,"Infarto transmural agudo del miocardio de la pared anterior",""
"190","I219",23,"Infarto agudo del miocardio, sin otra especificacion",""
"191","I259",11,"Enfermedad isquemia cronica del corazon, no especificada",""
"192","I269",4,"Embolia pulmonar sin mencion de corazon pulmonar agudo",""
"193","I270",1,"Hipertension pulmonar primaria",""
"194","I301",1,"Pericarditis infecciosa",""
"195","I340",1,"Insuficiencia (de la valvula) mitral",""
"196","I350",4,"Estenosis (de la valvula) aortica",""
"197","I351",1,"Insuficiencia (de la valvula) aortica",""
"198","I420",1,"Cardiomiopatia dilatada",""
"199","I429",1,"Cardiomiopatia, no especificada",""
"200","I442",3,"Bloqueo auriculoventricular completo",""
"201","I443",2,"Otros tipos de bloqueo auriculoventricular y los no especificados",""
"202","I453",1,"Bloqueo trifascicular",""
"203","I471",1,"Taquicardia supraventricular",""
"204","I472",1,"Taquicardia ventricular",""
"205","I479",3,"Taquicardia paroxistica, no especificada",""
"206","I495",1,"Sindrome del seno enfermo",""
"207","I498",1,"Otras arritmias cardiacas especificadas",""
"208","I499",5,"Arritmia cardiaca, no especificada",""
"209","I500",6,"Insuficiencia cardiaca congestiva",""
"210","I509",18,"Insuficiencia cardiaca, no especificada",""
"211","I519",1,"Enfermedad cardiaca, no especificada",""
"212","I609",1,"Hemorragia subaracnoidea, no especificada",""
"213","I619",5,"Hemorragia intraencefalica, no especificada",""
"214","I620",2,"Hemorragia subdural (aguda) (no traumatica)",""
"215","I629",2,"Hemorragia intracraneal (no traumatica), no especificada",""
"216","I639",2,"Infarto cerebral, no especificado",""
"217","I652",1,"Oclusion y estenosis de arteria carotida",""
"218","I671",1,"Aneurisma cerebral, sin ruptura",""
"219","I678",25,"Otras enfermedades cerebrovasculares especificadas",""
"220","I679",1,"Enfermedad cerebrovascular, no especificada",""
"221","I694",2,"Secuelas de accidente vascular encefalico, no especificado como hemorragico o isquemico",""
"222","I714",1,"Aneurisma de la aorta abdominal, sin mencion de ruptura",""
"223","I724",1,"Aneurisma de arteria del miembro inferior",""
"224","I729",1,"Aneurisma de sitio no especificado",""
"225","I742",1,"Embolia y trombosis de arterias de los miembros superiores",""
"226","I749",2,"Embolia y trombosis de arteria no especificada",""
"227","I770",1,"Fistula arteriovenosa, adquirida",""
"228","I771",3,"Estrechez arterial",""
"229","I802",3,"Flebitis y tromboflebitis de otros vasos profundos de los miembros inferiores",""
"230","I803",10,"Flebitis y tromboflebitis de los miembros inferiores, no especificada",""
"231","I809",1,"Flebitis y tromboflebitis de sitio no especificado",""
"232","I828",1,"Embolia y trombosis de otras venas especificadas",""
"233","I829",6,"Embolia y trombosis de vena no especificada",""
"234","I830",3,"Venas varicosas de los miembros inferiores con ulcera",""
"235","I832",3,"Venas varicosas de los miembros inferiores con ulcera e inflamacion",""
"236","I839",14,"Venas varicosas de los miembros inferiores sin ulcera ni inflamacion",""
"237","I850",3,"Varices esofagicas con hemorragia",""
"238","I859",1,"Varices esofagicas sin hemorragia",""
"239","I860",1,"Varices sublinguales",""
"240","I861",2,"Varices escrotales",""
"241","I868",8,"Varices en otros sitios especificados",""
"242","I872",1,"Insuficiencia venosa (cronica) (periferica)",""
"243","I880",3,"Linfadenitis mesenterica inespecifica",""
"244","I891",1,"Linfangitis",""
"245","J018",1,"Otras sinusitis agudas",""
"246","J030",1,"Amigdalitis estreptococica",""
"247","J040",4,"Laringitis aguda",""
"248","J069",1,"Infeccion aguda de las vias respiratorias superiores, no especificada",""
"249","J100",1,"Influenza con neumonia, debida a virus de la influenza identificado",""
"250","J110",1,"Influenza con neumonia, virus no identificado",""
"251","J121",4,"Neumonia debida a virus sincitial respiratorio",""
"252","J129",12,"Neumonia viral, no especificada",""
"253","J159",12,"Neumonia bacteriana, no especificada",""
"254","J181",2,"Neumonia lobar, no especificada",""
"255","J189",76,"Neumonia, no especificada",""
"256","J200",3,"Bronquitis aguda debida a mycoplasma pneumoniae",""
"257","J205",1,"Bronquitis aguda debida a virus sincitial respiratorio",""
"258","J209",20,"Bronquitis aguda, no especificada",""
"259","J210",5,"Bronquiolitis aguda debida a virus sincitial respiratorio",""
"260","J218",1,"Bronquiolitis aguda debida a otros microorganismos especificados",""
"261","J219",8,"Bronquiolitis aguda, no especificada",""
"262","J310",1,"Rinitis cronica",""
"263","J330",1,"Polipo de la cavidad nasal",""
"264","J341",2,"Quiste y mucocele de la nariz y del seno paranasal",""
"265","J342",9,"Desviacion del tabique nasal",""
"266","J348",1,"Otros trastornos especificados de la nariz y de los senos paranasales",""
"267","J350",2,"Amigdalitis cronica",""
"268","J351",1,"Hipertrofia de las amigdalas",""
"269","J352",2,"Hipertrofia de las adenoides",""
"270","J353",5,"Hipertrofia de las amigdalas con hipertrofia de las adenoides",""
"271","J358",4,"Otras enfermedades cronicas de las amigdalas y de las adenoides",""
"272","J359",3,"Enfermedad cronicas de las amigdalas y de las adenoides, no especificada",""
"273","J380",1,"Paralisis de las cuerdas vocales y de la laringe",""
"274","J440",1,"Enfermedad pulmonar obstructiva cronica con infeccion aguda de las vias respiratorias inferiores",""
"275","J441",4,"Enfermedad pulmonar obstructiva cronica con exacerbacion aguda, no especificada",""
"276","J448",7,"Otras enfermedades pulmonares obstructivas cronicas especificadas",""
"277","J449",11,"Enfermedad pulmonar obstructiva cronica, no especificada",""
"278","J459",2,"Asma, no especificada",""
"279","J690",9,"Neumonitis debida a aspiracion de alimento o vomito",""
"280","J841",5,"Otras enfermedades pulmonares intersticiales con fibrosis",""
"281","J852",1,"Absceso del pulmon sin neumonia",""
"282","J869",1,"Piotorax sin fistula",""
"283","J931",1,"Otros tipos de neumotorax espontaneo",""
"284","J939",3,"Neumotorax, no especificado",""
"285","J942",1,"Hemotorax",""
"286","J948",1,"Otras afecciones especificadas de la pleura",""
"287","J960",6,"Insuficiencia respiratoria aguda",""
"288","J969",9,"Insuficiencia respiratoria, no especificada",""
"289","J981",1,"Colapso pulmonar",""
"290","J984",1,"Otros trastornos del pulmon",""
"291","J989",1,"Trastorno respiratorio, no especificado",""
"292","K001",1,"Dientes supernumerarios",""
"293","K052",1,"Periodontitis aguda",""
"294","K073",1,"Anomalias de la posicion del diente",""
"295","K075",1,"Anomalias dentofaciales funcionales",""
"296","K079",1,"Anomalia dentofacial, no especificada",""
"297","K082",1,"Atrofia de reborde alveolar desdentado",""
"298","K088",1,"Otras afecciones especificadas de los dientes y de sus estructuras de sosten",""
"299","K102",1,"Afecciones inflamatorias de los maxilares",""
"300","K112",1,"Sialadenitis",""
"301","K122",1,"Celulitis y absceso de boca",""
"302","K219",1,"Enfermedad del reflujo gastroesofagico sin esofagitis",""
"303","K220",1,"Acalasia del cardias",""
"304","K222",1,"Obstruccion del esofago",""
"305","K261",1,"Ulcera duodenal aguda con perforacion",""
"306","K269",1,"Ulcera duodenal no especificada como aguda ni cronica, sin hemorragia ni perforacion",""
"307","K290",1,"Gastritis aguda hemorragica",""
"308","K299",1,"Gastroduodenitis, no especificada",""
"309","K313",1,"Espasmo del piloro, no clasificado en otra parte",""
"310","K388",1,"Otras enfermedades especificadas del apendice",""
"311","K400",1,"Hernia inguinal bilateral con obstruccion, sin gangrena",""
"312","K402",6,"Hernia inguinal bilateral, sin obstruccion ni gangrena",""
"313","K409",31,"Hernia inguinal unilateral o no especificada, sin obstrucion ni gangrena",""
"314","K429",7,"Hernia umbilical sin obstruccion ni gangrena",""
"315","K439",5,"Hernia ventral sin obstruccion ni gangrena",""
"316","K449",1,"Hernia diafragmatica sin obstruccion ni gangrena",""
"317","K458",1,"Otras hernias de la cavidad abdominal especificadas, sin obstruccion ni gangrena",""
"318","K461",1,"Hernia abdominal no especificada, con gangrena",""
"319","K469",5,"Hernia abdominal no especificada, sin obstruccion ni gangrena",""
"320","K510",1,"Enterocolitis (cronica) ulcerativa",""
"321","K519",1,"Colitis ulcerativa, sin otra especificacion",""
"322","K528",1,"Otras colitis y gastroenteritis no infecciosas especificadas",""
"323","K529",2,"Colitis y gastroenteritis no infecciosas, no especificadas",""
"324","K550",1,"Trastorno vascular agudo de los intestinos",""
"325","K566",9,"Otras obstrucciones intestinales y las no especificadas",""
"326","K579",4,"Enfermedad diverticular del intestino, parte no especificada, sin perforacion ni absceso",""
"327","K590",1,"Constipacion",""
"328","K591",1,"Diarrea funcional",""
"329","K605",1,"Fistula anorrectal",""
"330","K610",2,"Absceso anal",""
"331","K620",1,"Polipo anal",""
"332","K621",1,"Polipo rectal",""
"333","K625",1,"Hemorragia del ano y del recto",""
"334","K631",1,"Perforacion del intestino (no traumatica)",""
"335","K650",3,"Peritonitis aguda",""
"336","K659",1,"Peritonitis, no especificada",""
"337","K701",3,"Hepatitis alcoholica",""
"338","K709",1,"Enfermedad hepatica alcoholica, no especificada",""
"339","K710",1,"Enfermedad toxica del higado, con colestasis",""
"340","K720",2,"Insuficiencia hepatica aguda o subaguda",""
"341","K729",7,"Insuficiencia hepatica, no especificada",""
"342","K746",1,"Otras cirrosis del higado y la no especificadas",""
"343","K769",16,"Enfermedad del higado, no especificada",""
"344","K800",7,"Calculo de la vesicula biliar con colecistitis aguda",""
"345","K801",4,"Calculo de la vesicula biliar con otra colecistitis",""
"346","K802",27,"Calculo de la vesicula biliar sin colecistitis",""
"347","K804",1,"Calculo de conducto biliar con colecistitis",""
"348","K805",6,"Calculo de conducto biliar sin colangitis ni colecistitis",""
"349","K808",31,"Otras colelitiasis",""
"350","K810",26,"Colecistitis aguda",""
"351","K829",1,"Enfermedad de la vesicula biliar, no especificada",""
"352","K830",7,"Colangitis",""
"353","K831",1,"Obstruccion del conducto biliar",""
"354","K914",1,"Disfuncion de colostomia o enterostomia",""
"355","K920",12,"Hematemesis",""
"356","K921",2,"Melena",""
"357","K922",8,"Hemorragia gastrointestinal, no especificada",""
"358","L024",1,"Absceso cutaneo, furunculo y antrax de miembro",""
"359","L031",15,"Celulitis de otras partes de los miembros",""
"360","L033",1,"Celulitis del tronco",""
"361","L039",3,"Celulitis de sitio no especificado",""
"362","L059",4,"Quiste pilonidal sin absceso",""
"363","L089",1,"Infeccion local de la piel y del tejido subcutaneo, no especificada",""
"364","L301",1,"Dishidrosis [ponfolix]",""
"365","L405",1,"Artropatia psoriasica (m07.0",""
"366","L720",1,"Quiste epidermico",""
"367","L721",1,"Quiste tricodermico",""
"368","L984",1,"Ulcera cronica de la piel, no clasificada en otra parte",""
"369","M059",3,"Artritis reumatoide seropositiva, sin otra especificacion",""
"370","M068",1,"Otras artritis reumatoideas especificadas",""
"371","M069",10,"Artritis reumatoide, no especificada",""
"372","M169",11,"Coxartrosis, no especificada",""
"373","M179",7,"Gonartrosis, no especificada",""
"374","M190",2,"Artrosis primaria de otras articulaciones",""
"375","M198",2,"Otras artrosis especificadas",""
"376","M199",2,"Artrosis, no especificada",""
"377","M201",6,"Hallux valgus (adquirido)",""
"378","M202",1,"Hallux rigidus",""
"379","M222",2,"Trastornos rotulofemorales",""
"380","M224",2,"Condromalacia de la rotula",""
"381","M231",1,"Menisco discoide (congenito)",""
"382","M232",13,"Trastorno del menisco debido a desgarro o lesion antigua",""
"383","M233",12,"Otros trastornos de los meniscos",""
"384","M235",5,"Inestabilidad cronica de la rodilla",""
"385","M236",4,"Otra ruptura espontanea del (de los) ligamento(s) de la rodilla",""
"386","M238",1,"Otros trastornos internos de la rodilla",""
"387","M239",3,"Trastornos interno de la rodilla, no especificado",""
"388","M244",3,"Luxacion y subluxacion recidivante de la articulacion",""
"389","M258",2,"Otros trastornos articulares especificados",""
"390","M303",1,"Sindrome mucocutaneo lifonodular [kawasaki]",""
"391","M332",2,"Polimiositis",""
"392","M351",1,"Otros sindromes superpuestos",""
"393","M464",1,"Discitis, no especificada",""
"394","M465",1,"Otras espondilopatias infecciosas",""
"395","M468",1,"Otras espondilopatias inflamatorias especificadas",""
"396","M478",1,"Otras espondilosis",""
"397","M500",1,"Trastorno de disco cervical con mielopatia (g99.2)",""
"398","M511",3,"Trastorno de disco lumbar y otros, con radiculopatia",""
"399","M512",10,"Otros desplazamientos especificados de disco intervertebral",""
"400","M513",1,"Otras degeneraciones especificadas de disco intervertebral",""
"401","M518",1,"Otros trastornos especificados de los discos intervertebrales",""
"402","M519",1,"Trastornos de los discos intervertebrales, no especificado",""
"403","M541",1,"Radiculopatia",""
"404","M545",1,"Lumbago no especificado",""
"405","M628",1,"Otros trastornos especificados de los musculos",""
"406","M650",1,"Absceso de vaina tendinosa",""
"407","M653",2,"Dedo en gatillo",""
"408","M664",2,"Ruptura espontanea de otros tendones",""
"409","M674",3,"Ganglion",""
"410","M702",1,"Bursitis del olecranon",""
"411","M712",1,"Quiste sinovial del hueco popliteo [de baker]",""
"412","M713",1,"Otros quistes de la bolsa serosa",""
"413","M751",16,"Sindrome de manguito rotatorio",""
"414","M770",1,"Epicondilitis media",""
"415","M795",1,"Cuerpo extraño residual en tejido blando",""
"416","M796",1,"Dolor en miembro",""
"417","M819",1,"Osteoporosis no especificada, sin fractura patologica",""
"418","M869",1,"Osteomielitis, no especificada",""
"419","M899",2,"Trastorno del hueso, no especificado",""
"420","M938",1,"Otras osteocondropatias especificadas",""
"421","M950",1,"Deformidad adquirida de la nariz",""
"422","N039",1,"Sindrome nefritico cronico: no especificada",""
"423","N049",4,"Sindrome nefrotico: no especificada",""
"424","N059",2,"Sindrome nefritico no especificado: no especificada",""
"425","N130",1,"Hidronefrosis con obstruccion de la union uretero",""
"426","N132",2,"Hidronefrosis con obstruccion por calculos del riñon y del ureter",""
"427","N133",1,"Otras hidronefrosis y las no especificadas",""
"428","N135",1,"Torsion y estrechez del ureter sin hidronefrosis",""
"429","N179",2,"Insuficiencia renal aguda, no especificada",""
"430","N189",15,"Insuficiencia renal cronica, no especificada",""
"431","N200",4,"Calculo del riñon",""
"432","N201",8,"Calculo del ureter",""
"433","N209",1,"Calculo urinario, no especificado",""
"434","N210",1,"Calculo en la vejiga",""
"435","N211",7,"Calculo en la uretra",""
"436","N300",1,"Cistitis agudas",""
"437","N328",1,"Otros trastornos especificados de la vejiga",""
"438","N350",3,"Estrechez uretral postraumatica",""
"439","N390",31,"Infeccion de vias urinarias, sitio no especificado",""
"440","N393",3,"Incontinencia urinaria por tension",""
"441","N394",4,"Otras incontinencias urinarias especificadas",""
"442","N399",1,"Trastorno del sistema urinario, no especificado",""
"443","N410",2,"Prostatitis aguda",""
"444","N418",1,"Otras enfermedades inflamatorias de la prostata",""
"445","N433",1,"Hidrocele, no especificado",""
"446","N459",2,"Orquitis, epididimitis y orquiepididimitis sin absceso",""
"447","N485",1,"Ulcera del pene",""
"448","N486",2,"Induracion plastica del pene",""
"449","N488",1,"Otros trastornos especificados del pene",""
"450","N492",1,"Trastornos inflamatorios del escroto",""
"451","N500",1,"Atrofia del testiculo",""
"452","N508",1,"Otros trastornos especificados de los organos genitales masculinos",""
"453","N600",1,"Quiste solitario de la mama",""
"454","N648",1,"Otros trastornos especificados de la mama",""
"455","N709",3,"Salpingitis y ooforitis, no especificadas",""
"456","N710",1,"Enfermedad inflamatoria aguda del utero",""
"457","N739",6,"Enfermedad inflamatoria pelvica femenina, no especificada",""
"458","N750",1,"Quiste de la glandula de bartholin",""
"459","N751",1,"Absceso de la glandula de bartholin",""
"460","N758",1,"Otras enfermedades de la glandula de bartholin",""
"461","N759",1,"Enfermedad de la glandula de bartholin, no especificada",""
"462","N764",2,"Absceso vulvar",""
"463","N800",1,"Endometriosis del utero",""
"464","N809",2,"Endometriosis, no especificada",""
"465","N811",1,"Cistocele",""
"466","N818",2,"Otros prolapsos genitales femeninos",""
"467","N819",8,"Prolapso genital femenino, no especificado",""
"468","N831",1,"Quiste del cuerpo amarillo",""
"469","N832",5,"Otros quistes ovaricos y los no especificados",""
