"","id10","N","dec10","grp10"
"1","A029",1,"Infeccion debida a salmonella no especificada",""
"2","A047",2,"Enterocolitis debida a clostridium difficile",""
"3","A071",1,"Giardiasis [lambliasis]",""
"4","A080",5,"Enteritis debida a rotavirus",""
"5","A084",1,"Infeccion intestinal viral, sin otra especificacion",""
"6","A162",1,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",""
"7","A164",1,"Tuberculosis de laringe, traquea y bronquios, sin mencion de confirmacion bacteriologica o histologica",""
"8","A379",3,"Tos ferina, no especificada",""
"9","A419",17,"Septicemia, no especificada",""
"10","A493",1,"Infeccion por micoplasma, sin otra especificacion",""
"11","A539",1,"Sifilis, no especificada",""
"12","B009",1,"Infeccion debida a el virus del herpes, no especificada",""
"13","B029",2,"Herpes zoster sin complicaciones",""
"14","B159",1,"Hepatitis aguda tipo a, con coma hepatico",""
"15","B178",1,"Otras hepatitis virales agudas especificadas",""
"16","B279",1,"Mononucleosis infecciosa, no especificada",""
"17","B340",1,"Infeccion debida a adenovirus, sin otra especificacion",""
"18","C159",1,"Tumor maligno del esofago, parte no especificada",""
"19","C169",5,"Tumor maligno del estomago, parte no especificada",""
"20","C189",5,"Tumor maligno del colon, parte no especificada",""
"21","C221",1,"Carcinoma de vias biliares intrahepaticas",""
"22","C241",1,"Tumor maligno de la ampolla de vater",""
"23","C250",2,"Tumor maligno de la cabeza del pancreas",""
"24","C259",2,"Tumor maligno del pancreas, parte no especificada",""
"25","C349",3,"Tumor maligno de los bronquios o del pulmon, parte no especificada",""
"26","C402",1,"Tumor maligno de los huesos largos del miembro inferior",""
"27","C414",1,"Tumor maligno de los huesos de la pelvis, sacro y coccix",""
"28","C488",1,"Lesion de sitios contiguos del peritoneo y del retroperitoneo",""
"29","C490",1,"Tumor maligno del tejido conjuntivo y tejido blando de la cabeza, cara y cuello",""
"30","C492",1,"Tumor maligno del tejido conjuntivo y tejido blando del miembro inferior, incluida la cadera",""
"31","C499",1,"Tumor maligno del tejido conjuntivo y tejido blando, de sitio no especificado",""
"32","C509",18,"Tumor maligno de la mama, parte no especificada",""
"33","C539",6,"Tumor maligno del cuello del utero, sin otra especificacion",""
"34","C541",2,"Tumor maligno del endometrio",""
"35","C549",1,"Tumor maligno del cuerpo del utero, parte no especificada",""
"36","C570",1,"Tumor maligno de la trompa de falopio",""
"37","C629",1,"Tumor maligno del testiculo, no especificado",""
"38","C696",2,"Tumor maligno de la orbita",""
"39","C710",2,"Tumor maligno del cerebro, excepto lobulos y ventriculos",""
"40","C719",1,"Tumor maligno del encefalo, parte no especificada",""
"41","C760",1,"Tumor maligno de la cabeza, cara y cuello",""
"42","C780",4,"Tumor maligno secundario del pulmon",""
"43","C788",1,"Tumor maligno secundario de otros organos digestivos y de los no especificados",""
"44","C796",1,"Tumor maligno secundario del ovario",""
"45","C819",5,"Enfermedad de hodgkin, no especificada",""
"46","C833",3,"Linfoma no hodgkin de celulas grandes (difuso)",""
"47","C859",21,"Linfoma no hodgkin, no especificado",""
"48","C900",3,"Mieloma multiple",""
"49","C920",1,"Leucemia mieloide aguda",""
"50","C924",1,"Leucemia promielocitica aguda",""
"51","D039",1,"Melanoma in situ, sitio no especificado",""
"52","D043",1,"Carcinoma in situ de la piel de otras partes y de las no especificadas de la cara",""
"53","D069",1,"Carcinoma in situ del cuello del utero, parte no especificada",""
"54","D093",1,"Carcinoma in situ de la glandula tiroides y de otras glandulas endocrinas",""
"55","D100",1,"Tumor benigno del labio",""
"56","D135",1,"Tumor benigno de las vias biliares extrahepaticas",""
