"","id10","N","dec10","grp10"
"197","K219",1,"Enfermedad del reflujo gastroesofagico sin esofagitis",""
"198","K259",3,"Ulcera gastrica no especificada como aguda ni cronica, sin hemorragia ni perforacion",""
"199","K269",1,"Ulcera duodenal no especificada como aguda ni cronica, sin hemorragia ni perforacion",""
"200","K279",1,"Ulcera peptica, de sitio no especificado no especificada como aguda ni cronica, sin hemorragia ni perforacion",""
"201","K290",2,"Gastritis aguda hemorragica",""
"202","K291",3,"Otras gastritis agudas",""
"203","K292",1,"Gastritis alcoholica",""
"204","K294",1,"Gastritis cronica atrofica",""
"205","K350",6,"Apendicitis aguda con peritonitis generalizada",""
"206","K351",3,"Apendicitis aguda con absceso peritoneal",""
"207","K359",38,"Apendicitis aguda, no especificada",""
"208","K400",1,"Hernia inguinal bilateral con obstruccion, sin gangrena",""
"209","K402",1,"Hernia inguinal bilateral, sin obstruccion ni gangrena",""
"210","K409",23,"Hernia inguinal unilateral o no especificada, sin obstrucion ni gangrena",""
"211","K429",7,"Hernia umbilical sin obstruccion ni gangrena",""
"212","K430",1,"Hernia ventral con obstruccion, sin gangrena",""
"213","K439",5,"Hernia ventral sin obstruccion ni gangrena",""
"214","K529",5,"Colitis y gastroenteritis no infecciosas, no especificadas",""
"215","K564",1,"Otras obstrucciones del intestino",""
"216","K566",8,"Otras obstrucciones intestinales y las no especificadas",""
"217","K579",1,"Enfermedad diverticular del intestino, parte no especificada, sin perforacion ni absceso",""
"218","K589",1,"Sindrome del colon irritable sin diarrea",""
"219","K590",1,"Constipacion",""
"220","K599",1,"Trastorno funcional intestinal, no especificado",""
"221","K602",2,"Fisura anal, no especificada",""
"222","K605",1,"Fistula anorrectal",""
"223","K610",1,"Absceso anal",""
"224","K611",1,"Absceso rectal",""
"225","K612",1,"Absceso anorrectal",""
"226","K625",1,"Hemorragia del ano y del recto",""
"227","K632",2,"Fistula del intestino",""
"228","K701",1,"Hepatitis alcoholica",""
"229","K709",3,"Enfermedad hepatica alcoholica, no especificada",""
"230","K720",1,"Insuficiencia hepatica aguda o subaguda",""
"231","K721",2,"Insuficiencia hepatica cronica",""
"232","K746",1,"Otras cirrosis del higado y la no especificadas",""
"233","K769",4,"Enfermedad del higado, no especificada",""
"234","K800",8,"Calculo de la vesicula biliar con colecistitis aguda",""
"235","K801",2,"Calculo de la vesicula biliar con otra colecistitis",""
"236","K802",49,"Calculo de la vesicula biliar sin colecistitis",""
"237","K805",5,"Calculo de conducto biliar sin colangitis ni colecistitis",""
"238","K810",9,"Colecistitis aguda",""
"239","K828",1,"Otras enfermedades especificadas de la vesicula biliar",""
"240","K829",1,"Enfermedad de la vesicula biliar, no especificada",""
"241","K830",1,"Colangitis",""
"242","K831",1,"Obstruccion del conducto biliar",""
"243","K862",1,"Quiste del pancreas",""
"244","K920",11,"Hematemesis",""
"245","K921",1,"Melena",""
"246","K922",2,"Hemorragia gastrointestinal, no especificada",""
"247","L010",1,"Impetigo [cualquier sitio anatomico] [cualquier organismo]",""
"248","L022",1,"Absceso cutaneo, furunculo y antrax del tronco",""
"249","L024",2,"Absceso cutaneo, furunculo y antrax de miembro",""
"250","L030",1,"Celulitis de los dedos de la mano y del pie",""
"251","L031",19,"Celulitis de otras partes de los miembros",""
"252","L032",15,"Celulitis de la cara",""
"253","L033",3,"Celulitis del tronco",""
"254","L038",1,"Celulitis de otros sitios",""
"255","L088",1,"Otras infecciones locales especificadas de la piel y del tejido subcutaneo",""
"256","L089",5,"Infeccion local de la piel y del tejido subcutaneo, no especificada",""
"257","L309",1,"Dermatitis, no especificada",""
"258","L509",1,"Urticaria, no especificada",""
"259","L608",1,"Otros trastornos de las uñas",""
"260","L720",3,"Quiste epidermico",""
"261","L721",1,"Quiste tricodermico",""
"262","L905",1,"Fibrosis y afecciones cicatriciales de la piel",""
"263","M009",2,"Artritis piogena, no especificada",""
"264","M061",1,"Enfermedad de still de comienzo en el adulto",""
"265","M160",6,"Coxartrosis primaria, bilateral",""
"266","M169",6,"Coxartrosis, no especificada",""
"267","M179",3,"Gonartrosis, no especificada",""
"268","M201",1,"Hallux valgus (adquirido)",""
"269","M211",1,"Deformidad en varo, no clasificada en otra",""
"270","M223",1,"Otros desarreglos de la rotula",""
"271","M231",2,"Menisco discoide (congenito)",""
"272","M232",2,"Trastorno del menisco debido a desgarro o lesion antigua",""
"273","M233",1,"Otros trastornos de los meniscos",""
"274","M236",3,"Otra ruptura espontanea del (de los) ligamento(s) de la rodilla",""
"275","M239",8,"Trastornos interno de la rodilla, no especificado",""
"276","M329",1,"Lupus eritematoso sistemico, sin otra especificacion",""
"277","M512",12,"Otros desplazamientos especificados de disco intervertebral",""
"278","M518",1,"Otros trastornos especificados de los discos intervertebrales",""
"279","M533",1,"Trastornos sacrococcigeos, no clasificados en otra parte",""
"280","M542",2,"Cervicalgia",""
"281","M544",2,"Lumbago con ciatica",""
"282","M545",2,"Lumbago no especificado",""
"283","M620",1,"Diastasis del musculo",""
"284","M659",1,"Sinovitis y tenosinovitis, no especificada",""
"285","M660",1,"Ruptura de quiste sinovial popliteo",""
"286","M712",2,"Quiste sinovial del hueco popliteo [de baker]",""
"287","M750",1,"Capsulitis adhesiva del hombro",""
"288","M751",8,"Sindrome de manguito rotatorio",""
"289","M765",1,"Tendinitis rotuliana",""
"290","M766",2,"Tendinitis aquiliana",""
"291","M795",1,"Cuerpo extraño residual en tejido blando",""
"292","M840",1,"Consolidacion defectuosa de fractura",""
"293","M841",2,"Falta de consolidacion de fractura [seudoartrosis]",""
"294","M866",1,"Otras osteomielitis cronicas",""
"295","M869",2,"Osteomielitis, no especificada",""
"296","M895",1,"Osteolisis",""
"297","M898",1,"Otros trastornos especificados del hueso",""
"298","M899",1,"Trastorno del hueso, no especificado",""
"299","M942",2,"Condromalacia",""
"300","N029",2,"Hematuria recurrente y persistente: no especificada",""
"301","N049",1,"Sindrome nefrotico: no especificada",""
"302","N179",1,"Insuficiencia renal aguda, no especificada",""
"303","N180",1,"Insuficiencia renal terminal",""
"304","N189",7,"Insuficiencia renal cronica, no especificada",""
"305","N200",2,"Calculo del riñon",""
"306","N201",3,"Calculo del ureter",""
"307","N209",1,"Calculo urinario, no especificado",""
"308","N211",1,"Calculo en la uretra",""
"309","N311",1,"Vejiga neuropatica refleja, no clasificada en otra parte",""
"310","N324",1,"Ruptura de la vejiga, no traumatica",""
"311","N390",27,"Infeccion de vias urinarias, sitio no especificado",""
"312","N393",1,"Incontinencia urinaria por tension",""
"313","N419",1,"Enfermedad inflamatoria de la prostata, no especificada",""
"314","N492",1,"Trastornos inflamatorios del escroto",""
"315","N645",1,"Otros signos y sintomas relativos a la mama",""
"316","N700",1,"Salpingitis y ooforitis aguda",""
"317","N701",1,"Salpingitis y ooforitis cronica",""
"318","N709",3,"Salpingitis y ooforitis, no especificadas",""
"319","N739",4,"Enfermedad inflamatoria pelvica femenina, no especificada",""
"320","N800",2,"Endometriosis del utero",""
"321","N809",1,"Endometriosis, no especificada",""
"322","N816",1,"Rectocele",""
"323","N819",1,"Prolapso genital femenino, no especificado",""
"324","N831",1,"Quiste del cuerpo amarillo",""
"325","N832",1,"Otros quistes ovaricos y los no especificados",""
"326","N840",1,"Polipo del cuerpo del utero",""
"327","N843",1,"Polipo de la vulva",""
"328","N858",1,"Otros trastornos no inflamatorios especificados del utero",""
"329","N898",2,"Otros trastornos especificados no inflamatorios de la vagina",""
"330","N912",2,"Amenorrea, sin otra especificacion",""
"331","N921",9,"Menstruacion excesiva y frecuente con ciclo irregular",""
"332","N926",1,"Menstruacion irregular, no especificada",""
"333","N950",2,"Hemorragia postmenopausica",""
"334","N951",3,"Estados menopausicos y climatericos femeninos",""
"335","N979",2,"Infertilidad femenina, no especificada",""
"336","O009",6,"Embarazo ectopico, no especificado",""
"337","O019",2,"Mola hidatiforme, no especificada",""
"338","O020",2,"Detencion del desarrollo del huevo y mola no hidatiforme",""
"339","O021",26,"Aborto retenido",""
"340","O030",11,"Aborto espontaneo: incompleto, complicado con infeccion genital y pelviana",""
"341","O034",2,"Aborto espontaneo: incompleto, sin complicacion",""
"342","O039",4,"Aborto espontaneo: completo o no especificado, sin complicacion",""
"343","O059",1,"Otro aborto: completo o no especificado, sin complicacion",""
"344","O065",1,"Aborto no especificado: completo o no especificado, complicado con infeccion genital y pelviana",""
"345","O069",2,"Aborto no especificado: completo o no especificado, sin complicacion",""
"346","O080",1,"Infeccion genital y pelviana consecutiva al aborto, al embarazo ectopico y al embarazo molar",""
"347","O100",2,"Hipertension esencial preexistente que complica el embarazo, el parto y el puerperio",""
"348","O141",1,"Preeclampsia severa",""
"349","O149",12,"Preeclampsia, no especificada",""
"350","O200",25,"Amenaza de aborto",""
"351","O210",2,"Hiperemesis gravidica leve",""
"352","O230",3,"Infeccion del riñon en el embarazo",""
"353","O234",2,"Infeccion no especificada de las vias urinarias en el embarazo",""
"354","O239",14,"Otras infeccion y las no especificadas de las vias genitourinarias en el embarazo",""
"355","O244",8,"Diabetes mellitus que se origina en el embarazo",""
"356","O249",1,"Diabetes mellitus no especificada, en el embarazo",""
"357","O262",1,"Atencion del embarazo en una abortadora habitual",""
"358","O268",3,"Otras complicaciones especificadas relacionadas con el embarazo",""
"359","O269",6,"Complicacion relacionada con el embarazo, no especificada",""
"360","O339",1,"Atencion materna por desproporcion de origen no especificado",""
"361","O342",1,"Atencion materna por cicatriz uterina debida a cirugia previa",""
"362","O429",1,"Ruptura prematura de las membranas, sin otra especificacion",""
"363","O441",1,"Placenta previa con hemorragia",""
"364","O470",52,"Falso trabajo de parto antes de la 37 semanas completas de gestacion",""
"365","O479",27,"Falso trabajo de parto sin otra especificacion",""
"366","O641",1,"Trabajo de parto obstruido debido a presentacion de nalgas",""
"367","O649",1,"Trabajo de parto obstruido debido a presentacion anormal del feto no especificada",""
"368","O655",5,"Trabajo de parto obstruido debido a anomalias de los organos pelvianos maternos",""
"369","O663",1,"Trabajo de parto obstruido debido a otras anormalidades del feto",""
"370","O665",1,"Fracaso no especificado de la aplicacion de forceps o de ventosa extractora",""
"371","O689",1,"Trabajo de parto y parto complicados por sufrimiento fetal, sin otra especificacion",""
"372","O709",1,"Desgarro perineal durante el parto, de grado no especificado",""
"373","O756",2,"Retraso del parto despues de la ruptura espontanea o no especificada de las membranas",""
"374","O800",4,"Parto unico espontaneo, presentacion cefalica de vertice",""
"375","O809",155,"Parto unico espontaneo, sin otra especificacion",""
"376","O813",1,"Parto con forceps de otros tipos y los no especificados",""
"377","O828",1,"Otros partos unicos por cesarea",""
"378","O829",66,"Parto por cesarea, sin otra especificacion",""
"379","O842",1,"Parto multiple, todos por cesarea",""
"380","O860",1,"Infeccion de herida quirurgica obstetrica",""
"381","O992",1,"Enfermedades endocrinas, de la nutricion y del metabolismo que complican el embarazo, el parto y el puerperio",""
"382","O995",2,"Enfermedades del sistema respiratorio que complican el embarazo, el parto y el puerperio",""
"383","O996",1,"Enfermedades del sistema digestivo que complican el embarazo, el parto y el puerperio",""
"384","O998",3,"Otras enfermedades especificadas y afecciones que complican el embarazo, el parto y el puerperio",""
"385","P050",4,"Bajo peso para la edad gestacional",""
"386","P071",4,"Otro peso bajo al nacer",""
"387","P073",2,"Otros recien nacidos pretermino",""
"388","P220",10,"Sindrome de dificultad respiratoria del recien nacido",""
"389","P221",2,"Taquipnea transitoria del recien nacido",""
"390","P239",4,"Neumonia congenita, organismo no especificado",""
"391","P368",1,"Sepsis del recien nacido debida a otras bacterias",""
"392","P369",3,"Sepsis bacteriana del recien nacido, no especificada",""
"393","P393",1,"Infeccion neonatal de las vias urinarias",""
"394","P399",1,"Infeccion propia del periodo perinatal, no especificada",""
"395","P509",1,"Perdida de sangre fetal no especificada",""
"396","P593",1,"Ictericia neonatal por inhibidor de la leche materna",""
"397","P599",17,"Ictericia neonatal, no especificada",""
"398","P704",1,"Otras hipoglicemias neonatales",""
"399","P741",2,"Deshidratacion del recien nacido",""
"400","P819",1,"Alteracion no especificada de la regulacion de la temperatura en el recien nacido",""
"401","P925",3,"Dificultad neonatal en la lactancia materna",""
"402","Q039",1,"Hidrocefalo congenito, no especificado",""
"403","Q172",1,"Microtia",""
"404","Q179",1,"Malformacion congenita del oido, no especificada",""
"405","Q211",1,"Defecto del tabique auricular",""
"406","Q249",1,"Malformacion congenita del corazon, no especificada",""
"407","Q282",1,"Malformacion arteriovenosa de los vasos cerebrales",""
"408","Q336",1,"Hipoplasia y displasia pulmonar",""
"409","Q359",1,"Fisura del paladar, sin otra especificacion",""
"410","Q505",1,"Quiste embrionario del ligamento ancho",""
"411","Q539",6,"Testiculo no descendido, sin otra especificacion",""
"412","Q552",1,"Otras malformaciones congenitas de los testiculos y del escroto",""
"413","Q627",1,"Reflujo vesico",""
"414","Q740",1,"Otras malformaciones congenitas de (de los) miembro(s) superior(es), incluida la cintura escapular",""
"415","Q838",1,"Otras malformaciones congenitas de la mama",""
"416","R040",1,"Epistaxis",""
"417","R072",4,"Dolor precordial",""
"418","R104",8,"Otros dolores abdominales y los no especificados",""
"419","R190",2,"Tumefaccion, masa o prominencia intraabdominal y pelvica",""
"420","R221",1,"Tumefaccion, masa o prominencia localizada en el cuello",""
"421","R509",5,"Fiebre, no especificada",""
"422","R560",3,"Convulsiones febriles",""
"423","R570",1,"Choque cardiogenico",""
"424","R610",1,"Hiperhidrosis localizada",""
"425","R628",2,"Otras faltas del desarrollo fisiologico normal esperado",""
"426","S009",3,"Traumatismo superficial de la cabeza, parte no especificada",""
"427","S010",1,"Herida del cuero cabelludo",""
"428","S022",3,"Fractura de los huesos de la nariz",""
"429","S023",1,"Fractura del suelo de la orbita",""
"430","S024",1,"Fractura del malar y del hueso maxilar superior",""
"431","S026",2,"Fractura del maxilar inferior",""
"432","S032",1,"Luxacion de diente",""
"433","S058",1,"Otros traumatismos del ojo y de la orbita",""
"434","S068",3,"Otros traumatismos intracraneales",""
"435","S069",21,"Traumatismo intracraneal, no especificado",""
"436","S099",1,"Traumatismo de la cabeza, no especificado",""
"437","S129",1,"Fractura del cuello, parte no especificada",""
"438","S134",1,"Esguinces y torceduras de la columna cervical",""
"439","S145",1,"Traumatismo de nervios cervicales simpaticos",""
"440","S202",1,"Contusion del torax",""
"441","S218",1,"Heridas de otras partes del torax",""
"442","S219",1,"Heridas del torax, parte no especificada",""
"443","S223",5,"Fractura de costilla",""
"444","S300",1,"Contusion de la region lumbosacra y de la pelvis",""
"445","S318",2,"Heridas de otras partes y de las no especificadas del abdomen",""
"446","S320",2,"Fractura de vertebra lumbar",""
"447","S381",1,"Traumatismo por aplastamiento de otras partes y de las no especificadas del abdomen, de la region lumbosacra y de la pelvis",""
"448","S420",2,"Fractura de la clavicula",""
"449","S423",2,"Fractura de la diafisis del humero",""
"450","S424",1,"Fractura de la epifisis inferior del humero",""
"451","S429",2,"Fractura del hombro y del brazo, parte no especificada",""
"452","S430",1,"Luxacion de la articulacion del hombro",""
"453","S500",1,"Contusion del codo",""
"454","S522",4,"Fractura de la diafisis del cubito",""
"455","S525",1,"Fractura de la epifisis inferior del radio",""
"456","S528",2,"Fractura de otras partes del antebrazo",""
"457","S529",3,"Fractura del antebrazo, parte no especificada",""
"458","S610",2,"Herida de dedo(s) de la mano, sin daño de la(s) uña(s)",""
"459","S619",1,"Herida de la muñeca y de la mano, parte no especificada",""
"460","S623",2,"Fractura de otros huesos metacarpianos",""
"461","S625",1,"Fractura del pulgar",""
"462","S626",3,"Fractura de otro dedo de la mano",""
"463","S628",2,"Fractura de otras partes y de las no especificadas de la muñeca y de la mano",""
"464","S636",1,"Esguinces y torceduras de dedo(s) de la mano",""
"465","S681",2,"Amputacion traumatica de otro dedo unico (completa) (parcial)",""
