"","id10","N","dec10","grp10"
"1","A047",1,"Enterocolitis debida a clostridium difficile",""
"2","A080",3,"Enteritis debida a rotavirus",""
"3","A162",1,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",""
"4","A419",5,"Septicemia, no especificada",""
"5","A878",1,"Otras meningitis virales",""
"6","B169",1,"Hepatitis aguda tipo b, sin agente delta y sin coma hepatico",""
"7","B279",3,"Mononucleosis infecciosa, no especificada",""
"8","C150",1,"Tumor maligno del esofago, porcion cervical",""
"9","C168",1,"Lesion de sitios contiguos del estomago",""
"10","C169",16,"Tumor maligno del estomago, parte no especificada",""
"11","C187",2,"Tumor maligno del colon sigmoide",""
"12","C189",19,"Tumor maligno del colon, parte no especificada",""
"13","C220",1,"Carcinoma de celulas hepaticas",""
"14","C259",4,"Tumor maligno del pancreas, parte no especificada",""
"15","C349",2,"Tumor maligno de los bronquios o del pulmon, parte no especificada",""
"16","C433",1,"Melanoma maligno de las otras partes y las no especificadas de la cara",""
"17","C449",1,"Tumor maligno de la piel, sitio no especificado",""
"18","C509",26,"Tumor maligno de la mama, parte no especificada",""
"19","C539",9,"Tumor maligno del cuello del utero, sin otra especificacion",""
"20","C541",1,"Tumor maligno del endometrio",""
"21","C629",1,"Tumor maligno del testiculo, no especificado",""
"22","C679",2,"Tumor maligno de la vejiga urinaria, parte no especificada",""
"23","C719",42,"Tumor maligno del encefalo, parte no especificada",""
"24","C786",1,"Tumor maligno secundario del peritoneo y del retroperitoneo",""
"25","C787",1,"Tumor maligno secundario del higado",""
"26","C859",2,"Linfoma no hodgkin, no especificado",""
"27","C900",1,"Mieloma multiple",""
"28","C910",4,"Leucemia linfoblastica aguda",""
"29","C920",1,"Leucemia mieloide aguda",""
"30","C950",1,"Leucemia aguda, celulas de tipo no especificado",""
"31","C959",1,"Leucemia, no especificada",""
"32","D069",3,"Carcinoma in situ del cuello del utero, parte no especificada",""
"33","D179",1,"Tumor benigno lipomatoso, de sitio no especificado",""
"34","D223",1,"Nevo melanocitico de otras partes de las no especificadas de la cara",""
"35","D259",9,"Leiomioma del utero, sin otra especificacion",""
"36","D269",3,"Tumor benigno del utero, parte no especificada",""
"37","D287",1,"Tumor benigno de otros sitios especificados de los organos genitales femeninos",""
"38","D370",1,"Tumor de comportamiento incierto o desconocido del labio, de la cavidad bucal y de la faringe",""
"39","D371",1,"Tumor de comportamiento incierto o desconocido del estomago",""
"40","D376",2,"Tumor de comportamiento incierto o desconocido del higado, de la vesicula biliar y del conducto biliar",""
"41","D380",1,"Tumor de comportamiento incierto o desconocido de laringe",""
"42","D391",5,"Tumor de comportamiento incierto o desconocido del ovario",""
"43","D397",2,"Tumor de comportamiento incierto o desconocido de otros organos genitales femeninos",""
"44","D401",1,"Tumor de comportamiento incierto o desconocido del testiculo",""
"45","D410",2,"Tumor de comportamiento incierto o desconocido del riñon",""
"46","D414",3,"Tumor de comportamiento incierto o desconocido de la vejiga",""
"47","D430",1,"Tumor de comportamiento incierto o desconocido del encefalo, supratentorial",""
"48","D443",1,"Tumor de comportamiento incierto o desconocido de la glandula hipofisis",""
"49","D480",3,"Tumor de comportamiento incierto o desconocido del hueso y cartilago articular",""
"50","D486",3,"Tumor de comportamiento incierto o desconocido de la mama",""
"51","D487",3,"Tumor de comportamiento incierto o desconocido de otros sitios especificados",""
"52","D591",2,"Otras anemias hemoliticas autoinmunes",""
"53","D649",6,"Anemia de tipo no especificado",""
"54","D690",1,"Purpura alergica",""
"55","D693",2,"Purpura trombocitopenica idiopatica",""
"56","D760",1,"Histiocitosis de las celulas de langerhans, no clasificada en otra parte",""
"57","E039",1,"Hipotiroidismo, no especificado",""
"58","E042",1,"Bocio multinodular no toxico",""
"59","E049",1,"Bocio no toxico, no especificado",""
"60","E050",1,"Tirotoxicosis con bocio difuso",""
"61","E100",2,"Diabetes mellitus insulinodependiente con coma",""
"62","E101",1,"Diabetes mellitus insulinodependiente con cetoacidosis",""
"63","E108",1,"Diabetes mellitus insulinodependiente con complicaciones no especificadas",""
"64","E109",1,"Diabetes mellitus insulinodependiente sin mencion de complicacion",""
"65","E115",16,"Diabetes mellitus no insulinodependiente con complicaciones circulatorias perifericas",""
"66","E118",7,"Diabetes mellitus no insulinodependiente con complicaciones no especificadas",""
"67","E119",1,"Diabetes mellitus no insulinodependiente sin mencion de complicacion",""
"68","E136",1,"Otras diabetes mellitus especificadas con otras complicaciones especificadas",""
"69","E141",1,"Diabetes mellitus, no especificada con cetoacidosis",""
"70","E143",2,"Diabetes mellitus, no especificada con complicaciones oftalmicas",""
"71","E144",1,"Diabetes mellitus, no especificada con complicaciones neurologicas",""
"72","E145",16,"Diabetes mellitus, no especificada con complicaciones circulatorias perifericas",""
"73","E149",2,"Diabetes mellitus, no especificada sin mencion de complicacion",""
"74","E162",8,"Hipoglicemia , no especificada",""
"75","E668",3,"Otros tipos de obesidad",""
"76","E669",1,"Obesidad, no especificada",""
"77","E881",1,"Lipodistrofia, no clasificada en otra parte",""
"78","F100",2,"Trastornos mentales y del comportamiento debidos al uso del alcohol: intoxicacion aguda",""
"79","F102",7,"Trastornos mentales y del comportamiento debidos al uso del alcohol: sindrome de dependencia",""
"80","F103",9,"Trastornos mentales y del comportamiento debidos al uso del alcohol: estado de abstinencia",""
"81","F130",2,"Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnoticos: intoxicacion aguda",""
"82","F149",1,"Trastornos mentales y del comportamiento debidos al uso de cocaina: trastorno mental y del comportamiento, no especificado",""
"83","F200",1,"Esquizofrenia paranoide",""
"84","F220",1,"Trastorno delirante",""
"85","F233",1,"Otro trastorno psicotico agudo, con predominio de ideas delirantes",""
"86","F239",1,"Trastorno psicotico agudo y transitorio, no especificado de tipo esquizofrenico",""
"87","F322",3,"Episodio depresivo grave sin sintomas psicoticos",""
"88","F323",1,"Episodio depresivo grave con sintomas psicoticos",""
"89","F329",8,"Episodio depresivo, no especificado",""
"90","F332",1,"Trastorno depresivo recurrente, episodio depresivo grave presente sin sintomas psicoticos",""
"91","F339",1,"Trastorno depresivo recurrente, no especificado",""
"92","F448",1,"Otros trastornos disociativos [de conversion]",""
"93","F502",1,"Bulimia nerviosa",""
"94","F609",1,"Trastorno de la personalidad, no especificado",""
"95","F711",1,"Retraso mental moderado: deterioro del comportamiento significativo, que requiere atencion o tratamiento",""
"96","G113",2,"Ataxia cerebelosa con reparacion defectuosa del adn",""
"97","G409",6,"Epilepsia, tipo no especificado",""
"98","G439",2,"Migraña, no especificada",""
"99","G443",1,"Cefalea postraumatica cronica",""
"100","G459",1,"Isquemia cerebral transitoria, sin otra especificacion",""
"101","G473",2,"Apnea del sueño",""
"102","G510",1,"Paralisis de bell",""
"103","G560",2,"Sindrome del tunel carpiano",""
"104","G610",1,"Sindrome de guillain",""
"105","G959",1,"Enfermedad de la medula espinal, no especificada",""
"106","G960",1,"Perdida de liquido cefalorraquideo",""
"107","G969",1,"Trastorno del sistema nervioso central, no especificado",""
"108","H001",1,"Calacio [chalazion]",""
"109","H021",1,"Ectropion del parpado",""
"110","H043",1,"Inflamacion aguda y la no especificada de las vias lagrimales",""
"111","H110",2,"Pterigion",""
"112","H113",1,"Hemorragia conjuntival",""
"113","H160",2,"Ulcera de la cornea",""
"114","H209",1,"Iridociclitis, no especificada",""
"115","H269",44,"Catarata, no especificada",""
"116","H271",1,"Luxacion del cristalino",""
"117","H332",3,"Desprendimiento seroso de la retina",""
"118","H409",1,"Glaucoma, no especificado",""
"119","H522",1,"Astigmatismo",""
"120","H609",1,"Otitis externa, sin otra especificacion",""
"121","H650",1,"Otitis media aguda serosa",""
"122","H669",1,"Otitis media, no especificada",""
"123","I110",1,"Enfermedad cardiaca hipertensiva con insuficiencia cardiaca (congestiva)",""
"124","I119",1,"Enfermedad cardiaca hipertensiva sin insuficiencia cardiaca (congestiva)",""
"125","I200",3,"Angina inestable",""
"126","I210",1,"Infarto transmural agudo del miocardio de la pared anterior",""
"127","I219",6,"Infarto agudo del miocardio, sin otra especificacion",""
"128","I259",8,"Enfermedad isquemia cronica del corazon, no especificada",""
"129","I269",2,"Embolia pulmonar sin mencion de corazon pulmonar agudo",""
"130","I309",1,"Pericarditis aguda, no especificada",""
"131","I443",1,"Otros tipos de bloqueo auriculoventricular y los no especificados",""
"132","I455",1,"Otros tipos especificados de bloqueo del corazon",""
"133","I456",1,"Sindrome de preexcitacion",""
"134","I471",4,"Taquicardia supraventricular",""
"135","I479",2,"Taquicardia paroxistica, no especificada",""
"136","I490",9,"Fibrilacion y aleteo ventricular",""
"137","I500",17,"Insuficiencia cardiaca congestiva",""
"138","I509",9,"Insuficiencia cardiaca, no especificada",""
"139","I519",2,"Enfermedad cardiaca, no especificada",""
"140","I609",1,"Hemorragia subaracnoidea, no especificada",""
"141","I610",1,"Hemorragia intracerebral en hemisferio, subcortical",""
"142","I619",6,"Hemorragia intraencefalica, no especificada",""
"143","I620",2,"Hemorragia subdural (aguda) (no traumatica)",""
"144","I639",1,"Infarto cerebral, no especificado",""
"145","I671",3,"Aneurisma cerebral, sin ruptura",""
"146","I678",20,"Otras enfermedades cerebrovasculares especificadas",""
"147","I719",1,"Aneurisma de la aorta, sitio no especificado, sin mencion de ruptura",""
"148","I743",1,"Embolia y trombosis de arterias de los miembros inferiores",""
"149","I749",2,"Embolia y trombosis de arteria no especificada",""
"150","I776",1,"Arteritis, no especificada",""
"151","I800",1,"Flebitis y tromboflebitis de vasos superficiales de los miembros inferiores",""
"152","I829",2,"Embolia y trombosis de vena no especificada",""
"153","I830",6,"Venas varicosas de los miembros inferiores con ulcera",""
"154","I832",5,"Venas varicosas de los miembros inferiores con ulcera e inflamacion",""
"155","I839",11,"Venas varicosas de los miembros inferiores sin ulcera ni inflamacion",""
"156","I843",1,"Hemorroides externas trombosadas",""
"157","I849",1,"Hemorroides no especificadas, sin complicacion",""
"158","I861",4,"Varices escrotales",""
"159","I880",2,"Linfadenitis mesenterica inespecifica",""
"160","I889",1,"Linfadenitis inespecifica no especificada",""
"161","J010",1,"Sinusitis maxilar aguda",""
"162","J039",3,"Amigdalitis aguda, no especificada",""
"163","J040",1,"Laringitis aguda",""
"164","J050",2,"Laringitis obstructiva, aguda [crup]",""
"165","J069",1,"Infeccion aguda de las vias respiratorias superiores, no especificada",""
"166","J118",1,"Influenza con otras manifestaciones, virus no identificado",""
"167","J121",1,"Neumonia debida a virus sincitial respiratorio",""
"168","J180",3,"Bronconeumonia, no especificada",""
"169","J181",4,"Neumonia lobar, no especificada",""
"170","J188",1,"Otras neumonias, de microorganismo no especificado",""
"171","J189",105,"Neumonia, no especificada",""
"172","J205",1,"Bronquitis aguda debida a virus sincitial respiratorio",""
"173","J209",35,"Bronquitis aguda, no especificada",""
"174","J342",6,"Desviacion del tabique nasal",""
"175","J343",1,"Hipertrofia de los cornetes nasales",""
"176","J350",2,"Amigdalitis cronica",""
"177","J352",4,"Hipertrofia de las adenoides",""
"178","J353",1,"Hipertrofia de las amigdalas con hipertrofia de las adenoides",""
"179","J358",6,"Otras enfermedades cronicas de las amigdalas y de las adenoides",""
"180","J381",2,"Polipo de las cuerdas vocales y de la laringe",""
"181","J386",1,"Estenosis laringea",""
"182","J440",2,"Enfermedad pulmonar obstructiva cronica con infeccion aguda de las vias respiratorias inferiores",""
"183","J448",1,"Otras enfermedades pulmonares obstructivas cronicas especificadas",""
"184","J449",12,"Enfermedad pulmonar obstructiva cronica, no especificada",""
"185","J459",5,"Asma, no especificada",""
"186","J690",1,"Neumonitis debida a aspiracion de alimento o vomito",""
"187","J841",6,"Otras enfermedades pulmonares intersticiales con fibrosis",""
"188","J849",1,"Enfermedad pulmonar intersticial, no especificada",""
"189","J869",1,"Piotorax sin fistula",""
"190","J931",1,"Otros tipos de neumotorax espontaneo",""
"191","J960",1,"Insuficiencia respiratoria aguda",""
"192","J981",1,"Colapso pulmonar",""
"193","J984",8,"Otros trastornos del pulmon",""
"194","K047",11,"Absceso periapical sin fistula",""
"195","K102",1,"Afecciones inflamatorias de los maxilares",""
"196","K112",1,"Sialadenitis",""
