FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
140201;0000;;;;
140301;0000;;;;
140401;0000;;;;
140501;0000;;;;
140601;0000;;;;
140701;0000;;;;
140801;0000;;;;
140901;0000;;;;
141001;0000;;;;
141101;0000;;;;
141201;0000;;;;
150101;0000;;;;
150201;0000;;;;
150301;0000;;;;
150401;0000;;;;
150501;0000;;;;
150601;0000;;;;
150701;0000;;;;
150801;0000;;;;
150901;0000;;;;
151001;0000;;;;
151101;0000;;;;
151201;0000;;;;
160101;0000;;;;
160201;0000;;48,8278;;
160301;0000;;42,374;;
160401;0000;;36,3106;;
160501;0000;;33,317;;
160601;0000;;43,3756;;
160701;0000;;36,6538;;
160801;0000;;39,4843;;
160901;0000;;37,2643;;
161001;0000;;36,8961;;
161101;0000;;46,464;;
