"","Fecha","Egresos","PNOm","PNO2m","PHCTm","PHCNMm","PMP10m","POzonom","PSO2m"
"49",2011-10-01,"Medio",7.92224666666667,8.31557333333333,2.0199,0.0178844,36.87975,10.9565666666667,9.03892
"50",2011-11-01,"Bajo",6.58599,7.14187333333333,2.02021,0.0306499,39.0768,10.7241,8.21349666666667
"51",2011-12-01,"Medio",6.79094666666667,7.19738833333333,2.07113,0.02318265,49.942025,9.681795,11.849925
"52",2012-01-01,"Bajo",9.11841833333333,6.92787,2.05032,0.0223699,42.10535,7.90117166666667,10.6356983333333
"53",2012-02-01,"Medio",10.9802633333333,7.611135,1.90517,0.0255939,50.081325,7.233715,8.58645333333333
"54",2012-03-01,"Bajo",7.10936666666667,7.29260833333333,1.81538,0.020358,38.2122,11.673205,7.37504333333333
"55",2012-04-01,"Bajo",8.278475,9.26221833333333,1.851505,0.03685995,40.43475,11.5629666666667,8.40363333333333
"56",2012-05-01,"Alto",11.1090933333333,9.17681833333333,1.7783,0.0245486,39.3497,9.71483666666667,5.61849
"57",2012-06-01,"Alto",11.3001233333333,8.71573,1.80548,0.0255115,27.6492,8.02688,6.14960333333333
"58",2012-07-01,"Alto",18.55665,11.5404366666667,1.986255,0.04658565,37.996575,6.6231,8.885055
"59",2012-08-01,"Medio",8.79216666666667,9.20462166666667,2.088775,0.0505451,30.443075,10.0005983333333,7.62337833333333
"60",2012-09-01,"Alto",8.03341333333333,8.23996666666667,2.06917,0.0408677,28.38515,10.95949,7.21485333333333
"61",2012-10-01,"Medio",8.20905333333333,7.39223333333333,1.98661,0.0388009,23.72795,11.1958766666667,7.78241333333333
"62",2012-11-01,"Medio",6.72720333333333,6.56667,2.04617,0.0395358,27.98115,12.7084333333333,7.62695333333333
"63",2012-12-01,"Medio",9.09287666666667,7.17144333333333,2.04733,0.0380891,28.8607,9.4643,10.0140233333333
"64",2013-01-01,"Medio",6.4205625,7.789336,1.79557,78.64991495,31.5611333333333,25.745682,11.110358
"65",2013-02-01,"Bajo",11.677145,7.714292,1.57787,67.7701232,51.2402,16.421708,13.092024
"66",2013-03-01,"Bajo",8.3903875,10.31543,1.79314,60.3117936,54.1765333333333,24.70106,12.15275
"67",2013-04-01,"Medio",10.4577433333333,8.96625,1.63747,68.0295124,57.5725333333333,30.80486,14.75667
"68",2013-05-01,"Alto",10.798952,8.787755,1.65461,135.8316365,34.9298333333333,13.181986,11.744294
"69",2013-06-01,"Medio",11.075206,8.763524,1.71028,137.221129,40.2737333333333,9.41605,12.71101
"70",2013-07-01,"Alto",9.601716,7.68006,2.06381,10.7997633,37.4630666666667,8.0090825,7.925385
"71",2013-08-01,"Medio",9.654266,7.67622,2.18075,5.25951155,42.0383333333333,10.24053,11.2715725
"72",2013-09-01,"Alto",7.40428,6.260364,2.1589,24.3965678,35.7445333333333,11.2384,9.866225
"73",2013-10-01,"Alto",6.02611,6.472226,2.0614,40.6207826,30.9697666666667,12.3412225,8.7159225
"74",2013-11-01,"Alto",6.200886,5.19468,2.08435,36.1452549,33.2823333333333,11.4253475,7.932755
"75",2013-12-01,"Medio",7.694286,5.71386,2.00136,8.081496,30.9223333333333,14.042912,9.054464
"76",2014-01-01,"Bajo",10.086318,6.297992,2.21961,7.96325295,40.4123333333333,10.60282,9.483734
"77",2014-02-01,"Medio",8.370512,6.388096,2.51399,4.30681355,39.1160666666667,9.30631,10.09007
"78",2014-03-01,"Bajo",8.943459,7.344806,2.63182,2.4061945,35.6660166666667,13.89757,9.683279
"79",2014-04-01,"Medio",11.6,9.478816,2.63693,6.3715141,45.4285166666667,9.757119,12.268004
"80",2014-05-01,"Alto",19.63775,9.758978,2.638795,9.446198475,30.67055,7.030968,16.57
"81",2014-06-01,"Bajo",9.604102,9.084518,2.67587,7.56406995,31.0447333333333,11.990912,7.885834
"82",2014-07-01,"Bajo",9.433822,9.384196,2.63167,7.1632715,32.2864666666667,12.28322,11.099502
"83",2014-08-01,"Alto",8.318752,7.324826,4.694025,0.129502,31.3378333333333,16.450242,10.381744
"84",2014-09-01,"Medio",8.036284,7.788588,22.449565,0.104925,29.5835333333333,17.882974,7.904446
"85",2014-10-01,"Bajo",11.561635,7.44835,48.80087,0.1039972,37.6616666666667,21.10478,11.966138
"86",2014-11-01,"Bajo",12.851473,7.180642,40.5724175,0.145821,34.83115,16.692948,14.695296
"87",2014-12-01,"Bajo",9.577262,6.355465,47.228825,0.173586,32.0274333333333,15.40972,12.058296
"88",2015-01-01,"Bajo",6.657454,6.575106,40.8795,0.108107,37.2862333333333,17.59988,7.621576
"89",2015-02-01,"Medio",5.27116,6.468696,30.65275,0.168157,39.8909333333333,18.00657,6.722463
"90",2015-03-01,"Bajo",7.126872,7.748212,32.923,0.147879,39.7169333333333,16.25452,7.880556
"91",2015-04-01,"Medio",6.155558,8.64274,32.34734,0.178666,45.9403666666667,19.82498,7.561774
"92",2015-05-01,"Medio",10.032366,9.926419,68.200045,0.231697,41.026,15.3986,11.59626
"93",2015-06-01,"Alto",12.923757,10.891332,56.58895,0.262353,51.8252333333333,14.05915,10.602707
"94",2015-07-01,"Alto",12.724225,11.134122,54.95986,0.171674,35.5968166666667,15.19206,9.420789
