"","Region","nombre_region","provincia","Nombre_provincia","Comuna","nombre_comuna","a2002","a2003","a2004","a2005","a2006","a2007","a2008","a2009","a2010","a2011","a2012","a2013","a2014","a2015","a2016","a2017","a2018","a2019","a2020"
"144",10,"X  Los Lagos",101,"Llanquihue",10107,"Llanquihue",16931,17096,17224,17346,17437,17517,17614,17707,17793,17870,17928,17981,18036,18083,18137,18191,18229,18268,18291
"145",13,"Región Metropolitana",131,"Santiago",13115,"Lo Barnechea",77495,79293,81072,82886,84744,86670,88687,90772,92873,95015,97206,99416,101651,103919,106187,108470,110742,113037,115313
"146",13,"Región Metropolitana",131,"Santiago",13116,"Lo Espejo",116983,117246,117446,117620,117810,118024,118303,118625,118908,119170,119430,119654,119842,120014,120145,120218,120247,120230,120148
"147",13,"Región Metropolitana",131,"Santiago",13117,"Lo Prado",108169,108565,108882,109188,109506,109853,110253,110697,111099,111497,111887,112241,112579,112879,113146,113370,113539,113669,113748
"148",6,"VI  O'Higgins",63,"Colchagua",6304,"Lolol",6420,6479,6526,6580,6625,6674,6712,6759,6806,6846,6893,6928,6961,6994,7022,7053,7072,7088,7100
"149",9,"IX   Araucanía",91,"Cautín",9109,"Loncoche",23881,23888,23883,23866,23835,23800,23768,23729,23690,23648,23596,23536,23482,23425,23354,23275,23194,23109,23003
"150",7,"VII  Maule",74,"Linares",7403,"Longaví",29198,29282,29343,29400,29449,29489,29525,29567,29591,29608,29609,29588,29562,29526,29486,29420,29348,29268,29165
"151",9,"IX   Araucanía",92,"Malleco",9205,"Lonquimay",10615,10657,10706,10733,10764,10793,10821,10848,10869,10886,10917,10930,10940,10957,10964,10981,10985,10980,10981
"152",8,"VIII  Biobío",82,"Arauco",8206,"Los Álamos",19325,19646,19953,20272,20587,20915,21240,21579,21914,22260,22589,22919,23252,23588,23925,24253,24584,24914,25230
"153",5,"V  Valparaíso",53,"Los Andes",5301,"Los Andes",62408,62910,63373,63822,64257,64670,65100,65560,65997,66433,66858,67265,67659,68041,68401,68734,69048,69345,69609
"154",8,"VIII  Biobío",83,"Biobío",8301,"Los Ángeles",172695,174477,176205,177879,179599,181336,183088,184867,186616,188356,190030,191640,193252,194870,196454,197987,199465,200866,202214
"155",14,"XIV  Los Ríos",141,"Valdivia",14104,"Los Lagos",20900,21002,21099,21203,21314,21459,21603,21760,21901,22048,22186,22314,22457,22593,22727,22864,22988,23112,23229
"156",10,"X  Los Lagos",101,"Llanquihue",10106,"Los Muermos",17594,17599,17582,17537,17478,17400,17316,17239,17154,17054,16941,16816,16692,16569,16441,16312,16177,16030,15887
"157",9,"IX   Araucanía",92,"Malleco",9206,"Los Sauces",7862,7872,7884,7881,7887,7882,7885,7885,7884,7880,7880,7867,7853,7847,7838,7818,7803,7791,7765
"158",4,"IV  Coquimbo",42,"Choapa",4203,"Los Vilos",18089,18230,18371,18502,18655,18811,18975,19149,19327,19498,19668,19826,19980,20122,20259,20391,20508,20613,20723
"159",8,"VIII  Biobío",81,"Concepción",8106,"Lota",50892,50706,50485,50260,50028,49807,49597,49368,49141,48903,48653,48373,48098,47821,47539,47235,46916,46589,46241
"160",9,"IX   Araucanía",92,"Malleco",9207,"Lumaco",11829,11809,11788,11758,11713,11681,11640,11603,11562,11519,11481,11427,11379,11328,11270,11217,11164,11099,11039
"161",6,"VI  O'Higgins",61,"Cachapoal",6108,"Machalí",29694,31410,33154,34903,36640,38373,40132,41883,43620,45313,46975,48561,50141,51665,53118,54519,55831,57069,58209
